id,name,title,description,priority,assign_date,task_1,task_2,task_3,task_4,completion_date,mood,mood_task_logic
2,Raj,Fix login bug (copy),Minor bug fixes [updated],medium,10/23/2025,Refactor code *,Write REA,Deploy,Test filters,10/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
54,Priya,Fix login bug (copy),Data analytics [updated],high,9/16/2025,Test filters *,Review logs,Design DB,Build charts,9/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
2,Raj,Fix login bug (copy),Minor bug fixes [updated],medium,10/23/2025,Refactor code *,Write REA,Deploy,Test filters,10/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
52,Neha,Enhance Security (copy),Reporting module [updated],medium,10/8/2025,Refactor code *,Design DB,Build charts,Review logs,10/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
90,Priya,Enhance Security (copy),Update backend APIs [updated],low,9/8/2025,Design DB *,Build charts,Refactor code,Write REA,9/11/2025,Neutral,Perform regular tasks; Moderate workload management
94,Supriya,Enhance Security (copy),Improve performance [updated],high,10/28/2025,Refactor code *,Prepare PR,Review logs,Design DB,11/2/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
91,Karan,Update API (copy),Module-level testing [updated],low,10/3/2025,Design DB *,Refactor code,Deploy,Write REA,10/8/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
29,Rohan,Fix login bug (copy),Improve performance [updated],urgent,10/25/2025,Test filters *,Design DB,Review logs,Deploy,10/28/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
63,Vikram,Create Dashboard (copy),Critical issue [updated],low,9/21/2025,Clean data *,Build charts,Write REA,Review logs,9/26/2025,Neutral,Perform regular tasks; Moderate workload management
30,Priya,Design UI (copy),Build analytics dashboard [updated],urgent,10/27/2025,Design DB *,Deploy,Prepare PR,Test filters,11/1/2025,Neutral,Perform regular tasks; Moderate workload management
88,Supriya,Analyze Data (copy),Minor bug fixes [updated],medium,9/30/2025,Test filters *,Prepare PR,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
11,Raj,Enhance Security (copy),Module-level testing [updated],urgent,9/25/2025,Design DB *,Improve UI,Prepare PR,Clean data,9/29/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
71,Supriya,Create Report (copy),Improve performance [updated],medium,10/21/2025,Design DB *,Prepare PR,Write REA,Refactor code,10/25/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
88,Supriya,Analyze Data (copy),Minor bug fixes [updated],medium,9/30/2025,Test filters *,Prepare PR,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
26,Raj,Update API (copy),Minor bug fixes [updated],urgent,9/16/2025,Clean data *,Prepare PR,Deploy,Test filters,9/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
52,Neha,Enhance Security (copy),Reporting module [updated],medium,10/8/2025,Refactor code *,Design DB,Build charts,Review logs,10/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
3,Simran,Testing Module (copy),Security patching [updated],medium,10/23/2025,Prepare PR *,Clean data,Test filters,Review logs,10/24/2025,Neutral,Perform regular tasks; Moderate workload management
95,Rohan,Design UI (copy),Improve performance [updated],low,9/2/2025,Review logs *,Design DB,Test filters,Deploy,9/3/2025,Neutral,Perform regular tasks; Moderate workload management
2,Raj,Fix login bug (copy),Minor bug fixes [updated],medium,10/23/2025,Refactor code *,Write REA,Deploy,Test filters,10/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
61,Supriya,Create Report (copy),Build analytics dashboard [updated],high,9/11/2025,Design DB *,Clean data,Build charts,Prepare PR,9/12/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
37,Priya,Enhance Security (copy),Update backend APIs [updated],medium,10/30/2025,Build charts *,Design DB,Clean data,Review logs,11/1/2025,Neutral,Perform regular tasks; Moderate workload management
33,Anjali,Design UI (copy),Module-level testing [updated],low,9/23/2025,Prepare PR *,Improve UI,Test filters,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
39,Amit,Testing Module (copy),Critical issue [updated],high,10/15/2025,Design DB *,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
88,Supriya,Analyze Data (copy),Minor bug fixes [updated],medium,9/30/2025,Test filters *,Prepare PR,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
16,Supriya,Design UI (copy),Build analytics dashboard [updated],medium,10/8/2025,Write REA *,Build charts,Clean data,Test filters,10/11/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
91,Karan,Update API (copy),Module-level testing [updated],low,10/3/2025,Design DB *,Refactor code,Deploy,Write REA,10/8/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
3,Simran,Testing Module (copy),Security patching [updated],medium,10/23/2025,Prepare PR *,Clean data,Test filters,Review logs,10/24/2025,Neutral,Perform regular tasks; Moderate workload management
13,Priya,Analyze Data (copy),Minor bug fixes [updated],high,9/30/2025,Test filters *,Design DB,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
91,Karan,Update API (copy),Module-level testing [updated],low,10/3/2025,Design DB *,Refactor code,Deploy,Write REA,10/8/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
39,Amit,Testing Module (copy),Critical issue [updated],high,10/15/2025,Design DB *,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
67,Karan,Fix login bug (copy),Build analytics dashboard [updated],medium,10/28/2025,Review logs *,Clean data,Write REA,Deploy,10/31/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
77,Supriya,Optimize Query (copy),Frontend redesign [updated],low,10/16/2025,Improve UI *,Refactor code,Build charts,Review logs,10/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
88,Supriya,Analyze Data (copy),Minor bug fixes [updated],medium,9/30/2025,Test filters *,Prepare PR,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
38,Vikram,Design UI (copy),Frontend redesign [updated],urgent,9/14/2025,Refactor code *,Prepare PR,Test filters,Clean data,9/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
67,Karan,Fix login bug (copy),Build analytics dashboard [updated],medium,10/28/2025,Review logs *,Clean data,Write REA,Deploy,10/31/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
56,Vikram,Enhance Security (copy),Frontend redesign [updated],urgent,9/28/2025,Write REA *,Build charts,Prepare PR,Design DB,9/29/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
98,Anjali,Testing Module (copy),Security patching [updated],high,10/29/2025,Build charts *,Clean data,Improve UI,Refactor code,11/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
26,Raj,Update API (copy),Minor bug fixes [updated],urgent,9/16/2025,Clean data *,Prepare PR,Deploy,Test filters,9/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
77,Supriya,Optimize Query (copy),Frontend redesign [updated],low,10/16/2025,Improve UI *,Refactor code,Build charts,Review logs,10/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
27,Supriya,Create Report (copy),Improve performance [updated],medium,10/18/2025,Deploy *,Write REA,Test filters,Review logs,10/19/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
78,Amit,Create Dashboard (copy),Minor bug fixes [updated],urgent,10/18/2025,Test filters *,Build charts,Review logs,Refactor code,10/20/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
55,Priya,Create Report (copy),Frontend redesign [updated],urgent,10/13/2025,Prepare PR *,Review logs,Refactor code,Test filters,10/14/2025,Neutral,Perform regular tasks; Moderate workload management
28,Supriya,Bug Fixing (copy),Update backend APIs [updated],low,10/19/2025,Design DB *,Deploy,Build charts,Write REA,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
54,Priya,Fix login bug (copy),Data analytics [updated],high,9/16/2025,Test filters *,Review logs,Design DB,Build charts,9/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
3,Simran,Testing Module (copy),Security patching [updated],medium,10/23/2025,Prepare PR *,Clean data,Test filters,Review logs,10/24/2025,Neutral,Perform regular tasks; Moderate workload management
36,Simran,Optimize Query (copy),Update backend APIs [updated],high,10/10/2025,Design DB *,Review logs,Improve UI,Clean data,10/12/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
6,Rohan,Update API (copy),Module-level testing [updated],medium,10/14/2025,Improve UI *,Deploy,Write REA,Clean data,10/16/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
58,Supriya,Create Dashboard (copy),Frontend redesign [updated],urgent,9/25/2025,Improve UI *,Clean data,Prepare PR,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
93,Neha,Design UI (copy),Frontend redesign [updated],low,10/20/2025,Prepare PR *,Review logs,Clean data,Test filters,10/22/2025,Neutral,Perform regular tasks; Moderate workload management
21,Vikram,Enhance Security (copy),Improve performance [updated],high,9/30/2025,Test filters *,Write REA,Build charts,Prepare PR,10/2/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
7,Karan,Update API (copy),Build analytics dashboard [updated],urgent,9/4/2025,Review logs *,Write REA,Improve UI,Design DB,9/5/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
56,Vikram,Enhance Security (copy),Frontend redesign [updated],urgent,9/28/2025,Write REA *,Build charts,Prepare PR,Design DB,9/29/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
93,Neha,Design UI (copy),Frontend redesign [updated],low,10/20/2025,Prepare PR *,Review logs,Clean data,Test filters,10/22/2025,Neutral,Perform regular tasks; Moderate workload management
31,Simran,Bug Fixing (copy),Build analytics dashboard [updated],urgent,9/21/2025,Build charts *,Clean data,Test filters,Deploy,9/23/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
89,Vikram,Bug Fixing (copy),Module-level testing [updated],low,9/7/2025,Refactor code *,Build charts,Improve UI,Review logs,9/10/2025,Neutral,Perform regular tasks; Moderate workload management
84,Priya,Fix login bug (copy),Update backend APIs [updated],low,10/21/2025,Deploy *,Write REA,Build charts,Improve UI,10/24/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
36,Simran,Optimize Query (copy),Update backend APIs [updated],high,10/10/2025,Design DB *,Review logs,Improve UI,Clean data,10/12/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
15,Neha,Bug Fixing (copy),Critical issue [updated],low,9/6/2025,Improve UI *,Design DB,Prepare PR,Deploy,9/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
13,Priya,Analyze Data (copy),Minor bug fixes [updated],high,9/30/2025,Test filters *,Design DB,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
43,Priya,Update API (copy),Update backend APIs [updated],low,9/16/2025,Review logs *,Build charts,Improve UI,Clean data,9/20/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
45,Neha,Analyze Data (copy),Security patching [updated],high,9/3/2025,Write REA *,Clean data,Review logs,Improve UI,9/5/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
86,Neha,Create Report (copy),Build analytics dashboard [updated],urgent,9/3/2025,Clean data *,Test filters,Design DB,Review logs,9/6/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
16,Supriya,Design UI (copy),Build analytics dashboard [updated],medium,10/8/2025,Write REA *,Build charts,Clean data,Test filters,10/11/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
89,Vikram,Bug Fixing (copy),Module-level testing [updated],low,9/7/2025,Refactor code *,Build charts,Improve UI,Review logs,9/10/2025,Neutral,Perform regular tasks; Moderate workload management
35,Karan,Testing Module (copy),Update backend APIs [updated],medium,9/6/2025,Build charts *,Improve UI,Prepare PR,Test filters,9/9/2025,Neutral,Perform regular tasks; Moderate workload management
30,Priya,Design UI (copy),Build analytics dashboard [updated],urgent,10/27/2025,Design DB *,Deploy,Prepare PR,Test filters,11/1/2025,Neutral,Perform regular tasks; Moderate workload management
96,Supriya,Fix login bug (copy),Improve performance [updated],urgent,9/11/2025,Refactor code *,Test filters,Build charts,Design DB,9/14/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
100,Karan,Optimize Query (copy),Reporting module [updated],high,10/23/2025,Write REA *,Design DB,Clean data,Refactor code,10/27/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
50,Simran,Bug Fixing (copy),Data analytics [updated],urgent,10/17/2025,Improve UI *,Build charts,Test filters,Design DB,10/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
97,Neha,Bug Fixing (copy),Critical issue [updated],medium,10/20/2025,Deploy *,Write REA,Clean data,Prepare PR,10/22/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
8,Karan,Enhance Security (copy),Module-level testing [updated],low,10/2/2025,Deploy *,Refactor code,Improve UI,Write REA,10/4/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
73,Priya,Create Report (copy),Frontend redesign [updated],urgent,9/23/2025,Test filters *,Review logs,Prepare PR,Clean data,9/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
85,Priya,Fix login bug (copy),Critical issue [updated],medium,10/9/2025,Clean data *,Improve UI,Design DB,Prepare PR,10/13/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
89,Vikram,Bug Fixing (copy),Module-level testing [updated],low,9/7/2025,Refactor code *,Build charts,Improve UI,Review logs,9/10/2025,Neutral,Perform regular tasks; Moderate workload management
33,Anjali,Design UI (copy),Module-level testing [updated],low,9/23/2025,Prepare PR *,Improve UI,Test filters,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
67,Karan,Fix login bug (copy),Build analytics dashboard [updated],medium,10/28/2025,Review logs *,Clean data,Write REA,Deploy,10/31/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
95,Rohan,Design UI (copy),Improve performance [updated],low,9/2/2025,Review logs *,Design DB,Test filters,Deploy,9/3/2025,Neutral,Perform regular tasks; Moderate workload management
6,Rohan,Update API (copy),Module-level testing [updated],medium,10/14/2025,Improve UI *,Deploy,Write REA,Clean data,10/16/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
43,Priya,Update API (copy),Update backend APIs [updated],low,9/16/2025,Review logs *,Build charts,Improve UI,Clean data,9/20/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
23,Simran,Enhance Security (copy),Frontend redesign [updated],urgent,10/6/2025,Improve UI *,Write REA,Refactor code,Build charts,10/10/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
66,Neha,Update API (copy),Critical issue [updated],medium,9/28/2025,Test filters *,Improve UI,Refactor code,Design DB,10/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
9,Vikram,Design UI (copy),Data analytics [updated],medium,10/25/2025,Review logs *,Prepare PR,Deploy,Write REA,10/26/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
39,Amit,Testing Module (copy),Critical issue [updated],high,10/15/2025,Design DB *,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
23,Simran,Enhance Security (copy),Frontend redesign [updated],urgent,10/6/2025,Improve UI *,Write REA,Refactor code,Build charts,10/10/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
41,Anjali,Optimize Query (copy),Module-level testing [updated],low,9/21/2025,Clean data *,Test filters,Build charts,Prepare PR,9/25/2025,Neutral,Perform regular tasks; Moderate workload management
44,Vikram,Analyze Data (copy),Improve performance [updated],urgent,10/15/2025,Prepare PR *,Test filters,Deploy,Write REA,10/20/2025,Neutral,Perform regular tasks; Moderate workload management
67,Karan,Fix login bug (copy),Build analytics dashboard [updated],medium,10/28/2025,Review logs *,Clean data,Write REA,Deploy,10/31/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
21,Vikram,Enhance Security (copy),Improve performance [updated],high,9/30/2025,Test filters *,Write REA,Build charts,Prepare PR,10/2/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
28,Supriya,Bug Fixing (copy),Update backend APIs [updated],low,10/19/2025,Design DB *,Deploy,Build charts,Write REA,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
70,Simran,Optimize Query (copy),Module-level testing [updated],urgent,10/12/2025,Write REA *,Clean data,Review logs,Design DB,10/14/2025,Neutral,Perform regular tasks; Moderate workload management
84,Priya,Fix login bug (copy),Update backend APIs [updated],low,10/21/2025,Deploy *,Write REA,Build charts,Improve UI,10/24/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
6,Rohan,Update API (copy),Module-level testing [updated],medium,10/14/2025,Improve UI *,Deploy,Write REA,Clean data,10/16/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
60,Raj,Analyze Data (copy),Module-level testing [updated],high,9/24/2025,Review logs *,Deploy,Clean data,Test filters,9/26/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
74,Raj,Design UI (copy),Module-level testing [updated],high,10/13/2025,Test filters *,Clean data,Improve UI,Review logs,10/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
53,Priya,Bug Fixing (copy),Module-level testing [updated],low,10/24/2025,Write REA *,Improve UI,Test filters,Prepare PR,10/26/2025,Neutral,Perform regular tasks; Moderate workload management
39,Amit,Testing Module (copy),Critical issue [updated],high,10/15/2025,Design DB *,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
35,Karan,Testing Module (copy),Update backend APIs [updated],medium,9/6/2025,Build charts *,Improve UI,Prepare PR,Test filters,9/9/2025,Neutral,Perform regular tasks; Moderate workload management
98,Anjali,Testing Module (copy),Security patching [updated],high,10/29/2025,Build charts *,Clean data,Improve UI,Refactor code,11/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
72,Neha,Fix login bug (copy),Frontend redesign [updated],medium,9/14/2025,Write REA *,Improve UI,Prepare PR,Test filters,9/18/2025,Neutral,Perform regular tasks; Moderate workload management
15,Neha,Bug Fixing (copy),Critical issue [updated],low,9/6/2025,Improve UI *,Design DB,Prepare PR,Deploy,9/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
73,Priya,Create Report (copy),Frontend redesign [updated],urgent,9/23/2025,Test filters *,Review logs,Prepare PR,Clean data,9/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
40,Simran,Update API (copy),Frontend redesign [updated],high,9/21/2025,Build charts *,Clean data,Design DB,Improve UI,9/24/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
1,Rohan,Fix login bug (copy),Frontend redesign [updated],high,9/5/2025,Deploy *,Refactor code,Write REA,Test filters,9/10/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
52,Neha,Enhance Security (copy),Reporting module [updated],medium,10/8/2025,Refactor code *,Design DB,Build charts,Review logs,10/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
11,Raj,Enhance Security (copy),Module-level testing [updated],urgent,9/25/2025,Design DB *,Improve UI,Prepare PR,Clean data,9/29/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
12,Supriya,Create Dashboard (copy),Reporting module [updated],medium,9/29/2025,Test filters *,Improve UI,Deploy,Write REA,10/3/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
42,Vikram,Bug Fixing (copy),Critical issue [updated],high,9/28/2025,Refactor code *,Improve UI,Prepare PR,Design DB,10/3/2025,Neutral,Perform regular tasks; Moderate workload management
38,Vikram,Design UI (copy),Frontend redesign [updated],urgent,9/14/2025,Refactor code *,Prepare PR,Test filters,Clean data,9/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
72,Neha,Fix login bug (copy),Frontend redesign [updated],medium,9/14/2025,Write REA *,Improve UI,Prepare PR,Test filters,9/18/2025,Neutral,Perform regular tasks; Moderate workload management
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
76,Vikram,Analyze Data (copy),Update backend APIs [updated],urgent,9/14/2025,Clean data *,Design DB,Refactor code,Test filters,9/15/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
98,Anjali,Testing Module (copy),Security patching [updated],high,10/29/2025,Build charts *,Clean data,Improve UI,Refactor code,11/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
57,Priya,Enhance Security (copy),Security patching [updated],low,9/3/2025,Design DB *,Review logs,Deploy,Test filters,9/8/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
44,Vikram,Analyze Data (copy),Improve performance [updated],urgent,10/15/2025,Prepare PR *,Test filters,Deploy,Write REA,10/20/2025,Neutral,Perform regular tasks; Moderate workload management
54,Priya,Fix login bug (copy),Data analytics [updated],high,9/16/2025,Test filters *,Review logs,Design DB,Build charts,9/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
1,Rohan,Fix login bug (copy),Frontend redesign [updated],high,9/5/2025,Deploy *,Refactor code,Write REA,Test filters,9/10/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
16,Supriya,Design UI (copy),Build analytics dashboard [updated],medium,10/8/2025,Write REA *,Build charts,Clean data,Test filters,10/11/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
73,Priya,Create Report (copy),Frontend redesign [updated],urgent,9/23/2025,Test filters *,Review logs,Prepare PR,Clean data,9/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
60,Raj,Analyze Data (copy),Module-level testing [updated],high,9/24/2025,Review logs *,Deploy,Clean data,Test filters,9/26/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
75,Anjali,Design UI (copy),Security patching [updated],high,10/20/2025,Clean data *,Test filters,Review logs,Design DB,10/24/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
65,Karan,Create Report (copy),Update backend APIs [updated],medium,9/7/2025,Prepare PR *,Design DB,Clean data,Test filters,9/12/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
17,Supriya,Optimize Query (copy),Improve performance [updated],low,10/24/2025,Write REA *,Design DB,Test filters,Clean data,10/26/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
26,Raj,Update API (copy),Minor bug fixes [updated],urgent,9/16/2025,Clean data *,Prepare PR,Deploy,Test filters,9/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
31,Simran,Bug Fixing (copy),Build analytics dashboard [updated],urgent,9/21/2025,Build charts *,Clean data,Test filters,Deploy,9/23/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
95,Rohan,Design UI (copy),Improve performance [updated],low,9/2/2025,Review logs *,Design DB,Test filters,Deploy,9/3/2025,Neutral,Perform regular tasks; Moderate workload management
100,Karan,Optimize Query (copy),Reporting module [updated],high,10/23/2025,Write REA *,Design DB,Clean data,Refactor code,10/27/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
82,Vikram,Optimize Query (copy),Module-level testing [updated],urgent,9/11/2025,Improve UI *,Design DB,Write REA,Clean data,9/15/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
91,Karan,Update API (copy),Module-level testing [updated],low,10/3/2025,Design DB *,Refactor code,Deploy,Write REA,10/8/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
73,Priya,Create Report (copy),Frontend redesign [updated],urgent,9/23/2025,Test filters *,Review logs,Prepare PR,Clean data,9/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
69,Supriya,Optimize Query (copy),Security patching [updated],low,9/26/2025,Write REA *,Build charts,Deploy,Refactor code,9/30/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
90,Priya,Enhance Security (copy),Update backend APIs [updated],low,9/8/2025,Design DB *,Build charts,Refactor code,Write REA,9/11/2025,Neutral,Perform regular tasks; Moderate workload management
90,Priya,Enhance Security (copy),Update backend APIs [updated],low,9/8/2025,Design DB *,Build charts,Refactor code,Write REA,9/11/2025,Neutral,Perform regular tasks; Moderate workload management
9,Vikram,Design UI (copy),Data analytics [updated],medium,10/25/2025,Review logs *,Prepare PR,Deploy,Write REA,10/26/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
82,Vikram,Optimize Query (copy),Module-level testing [updated],urgent,9/11/2025,Improve UI *,Design DB,Write REA,Clean data,9/15/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
97,Neha,Bug Fixing (copy),Critical issue [updated],medium,10/20/2025,Deploy *,Write REA,Clean data,Prepare PR,10/22/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
90,Priya,Enhance Security (copy),Update backend APIs [updated],low,9/8/2025,Design DB *,Build charts,Refactor code,Write REA,9/11/2025,Neutral,Perform regular tasks; Moderate workload management
93,Neha,Design UI (copy),Frontend redesign [updated],low,10/20/2025,Prepare PR *,Review logs,Clean data,Test filters,10/22/2025,Neutral,Perform regular tasks; Moderate workload management
58,Supriya,Create Dashboard (copy),Frontend redesign [updated],urgent,9/25/2025,Improve UI *,Clean data,Prepare PR,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
89,Vikram,Bug Fixing (copy),Module-level testing [updated],low,9/7/2025,Refactor code *,Build charts,Improve UI,Review logs,9/10/2025,Neutral,Perform regular tasks; Moderate workload management
100,Karan,Optimize Query (copy),Reporting module [updated],high,10/23/2025,Write REA *,Design DB,Clean data,Refactor code,10/27/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
78,Amit,Create Dashboard (copy),Minor bug fixes [updated],urgent,10/18/2025,Test filters *,Build charts,Review logs,Refactor code,10/20/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
28,Supriya,Bug Fixing (copy),Update backend APIs [updated],low,10/19/2025,Design DB *,Deploy,Build charts,Write REA,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
12,Supriya,Create Dashboard (copy),Reporting module [updated],medium,9/29/2025,Test filters *,Improve UI,Deploy,Write REA,10/3/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
